,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
201,"'fresh herbs', 'fresh fruits', 'packaged vegetables fruits'",'fresh vegetables',0.09223637589885346,0.5344675272861987,0.08853172228396645,0.9598352214212152,1.795871914417055,0.03923437453146591,11.590564897566694
257,"'packaged vegetables fruits', 'milk', 'yogurt', 'fresh vegetables'",'fresh fruits',0.08866470984962906,0.6347591500194731,0.08426662107092987,0.9503964002571246,1.4972551403598804,0.027985885210056127,7.363192427037243
144,"'fresh herbs', 'packaged vegetables fruits'",'fresh vegetables',0.10153600638340315,0.5344675272861987,0.09629249665156307,0.9483581251754138,1.7743980256214582,0.0420247983893099,9.0146315232569
261,"'packaged vegetables fruits', 'packaged cheese', 'yogurt', 'fresh vegetables'",'fresh fruits',0.09845829414949703,0.6347591500194731,0.09272083060233868,0.9417269657501206,1.4835973072955786,0.030223527495636685,6.267750678887684
253,"'packaged vegetables fruits', 'milk', 'packaged cheese', 'fresh vegetables'",'fresh fruits',0.08270876673031072,0.6347591500194731,0.07771223390612977,0.9395888365682783,1.480228897117046,0.025212087437238864,6.045916503384871
88,"'fresh herbs', 'fresh fruits'",'fresh vegetables',0.12163612702212342,0.5344675272861987,0.11420782156868332,0.9389301054275674,1.7567580021092384,0.04919726153049904,7.622945413171647
244,"'soy lactosefree', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.0765628413743315,0.6347591500194731,0.07160430499748273,0.9352357320099255,1.4733710132122306,0.023005340883636316,5.639542626136098
236,"'soy lactosefree', 'yogurt', 'fresh vegetables'",'fresh fruits',0.07995402429872807,0.6347591500194731,0.07439704387639756,0.930497802067245,1.465906875133189,0.02364549537190063,5.255097836386494
240,"'milk', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.10763443618021715,0.6347591500194731,0.09976917158245704,0.9269261318506752,1.460280063426008,0.03144722835987718,4.998241631798734
177,"'bread', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.08174935643517331,0.6347591500194731,0.07568892308569149,0.9258656751103881,1.4586094191505303,0.02379777108026193,4.926744129988109
217,"'milk', 'yogurt', 'fresh vegetables'",'fresh fruits',0.11330540594454419,0.6347591500194731,0.1048131999658032,0.9250503018108651,1.4573248794956108,0.03289155679583297,4.873146374236823
173,"'bread', 'yogurt', 'fresh vegetables'",'fresh fruits',0.08723984307467252,0.6347591500194731,0.08064745946254025,0.9244337979094076,1.4563536388267075,0.025271170824628902,4.833389000318669
229,"'fresh vegetables', 'soy lactosefree', 'packaged vegetables fruits'",'fresh fruits',0.1166205959742764,0.6347591500194731,0.10779592108137889,0.924330048057343,1.4561901912386555,0.03376993070598282,4.826762018526294
191,"'fresh vegetables', 'crackers', 'packaged vegetables fruits'",'fresh fruits',0.08168286265234201,0.6347591500194731,0.07536595328336801,0.9226654262123503,1.4535677448431341,0.02351700881501003,4.722866269146691
234,"'fresh vegetables', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.17012909292981107,0.6347591500194731,0.15692532748188046,0.922389726409827,1.4531334071852764,0.04893432906016962,4.706088937518879
184,"'chips pretzels', 'yogurt', 'fresh vegetables'",'fresh fruits',0.07884262821426197,0.6347591500194731,0.07268720374644971,0.9219277108433735,1.4524055475452236,0.022641124075863453,4.678239282157986
197,"'eggs', 'yogurt', 'fresh vegetables'",'fresh fruits',0.07692380762398715,0.6347591500194731,0.07085387516267229,0.9210916275623612,1.4510883813712712,0.022025784419008737,4.628670427452755
188,"'chips pretzels', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.07695230495948628,0.6347591500194731,0.07087287338633838,0.9209974077274412,1.4509399473787608,0.022026693698215583,4.623150196394146
242,"'packaged cheese', 'yogurt', 'packaged vegetables fruits'",'fresh fruits',0.11620263505362248,0.6347591500194731,0.10698849657557019,0.9207062862748305,1.4504813144427853,0.03322781071890975,4.606176616300818
203,"'fresh herbs', 'fresh vegetables', 'packaged vegetables fruits'",'fresh fruits',0.09629249665156307,0.6347591500194731,0.08853172228396645,0.9194041629673475,1.4484299484917107,0.027409178956167318,4.531758257347134
223,"'packaged cheese', 'yogurt', 'fresh vegetables'",'fresh fruits',0.12300399912608172,0.6347591500194731,0.11299193525405375,0.9186037531855742,1.44716898237291,0.034914021319786104,4.487195224286379
215,"'packaged vegetables fruits', 'milk', 'fresh vegetables'",'fresh fruits',0.1397319350640715,0.6347591500194731,0.12826650708158788,0.9179469748470429,1.4461342933282366,0.03957038274974163,4.451278295951578
199,"'fresh vegetables', 'fresh dips tapenades', 'packaged vegetables fruits'",'fresh fruits',0.08168286265234201,0.6347591500194731,0.074928994139048,0.9173159669729037,1.4451402030908296,0.023080049670690016,4.417308113899503
207,"'fresh vegetables', 'frozen produce', 'packaged vegetables fruits'",'fresh fruits',0.10609558006326408,0.6347591500194731,0.09715691582837005,0.9157489479810189,1.4426715202969906,0.029811775606589583,4.335148834678539
